age,sex,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
33,Female,363722,370754,376548,393454,403421,413020,419967,422491,419958,418700,410866,408953,398899,404587,394736,378546,361066,357034,349361,342280,349530,375352,393529,393706,392387,392842,390070,398654,399338,400470
34,Female,352943,363623,370167,377018,392935,403212,413016,419716,422847,421523,419849,412220,410182,399262,407762,396976,379005,363766,358176,351559,344095,349655,376012,394214,394972,393011,393762,391388,399663,399678
35,Female,340066,352468,363081,370177,376035,392258,402587,412501,419930,423619,421879,420766,411879,411498,400394,409500,397971,380532,365920,359036,351572,344037,350027,376810,395408,395590,393869,394992,392203,399676
36,Female,330476,340272,352487,363852,369727,376114,392276,402574,413174,420886,423821,422869,420049,413008,412459,401331,410984,398773,382325,366521,359019,351680,344600,350939,378207,396400,396661,394926,395886,392123
37,Female,336508,331009,340289,352983,363405,369394,375853,391891,402526,413375,420183,424925,422439,420693,413746,413290,402235,412373,399960,382721,366322,358863,351922,345421,352310,379203,397152,397248,395296,395446
38,Female,335282,336504,331257,340888,352542,363422,369094,375767,392119,402965,413182,421318,424703,423206,420953,414574,414091,403103,414097,399712,382330,366503,359257,352691,346528,352900,379536,397337,397106,395007
39,Female,330473,335251,336630,332128,340767,352703,363593,369156,376207,392835,402920,413906,421152,425564,423440,421270,415201,414662,404081,414527,398805,382335,366674,359824,353811,347188,353402,379664,397545,397132
40,Female,335536,330468,334659,336893,332118,340803,352539,363336,368928,376747,391872,403623,413862,421603,425877,422974,422107,413870,415316,404545,415114,398939,382587,367313,361097,354946,347989,353791,379931,397279
41,Female,347195,335430,330482,334648,336602,332266,340801,352370,363635,369508,376270,392130,403651,413875,421930,425424,423947,420356,414343,415533,404411,415044,399045,382771,367975,361819,355306,348121,353510,379497
42,Female,358793,346866,335085,330658,334153,336437,332323,340689,352587,364307,368881,376595,391855,403815,413816,421562,426452,422443,420327,414506,415324,404652,415241,399444,383488,369274,362438,355929,348375,353590
43,Female,384509,358404,346426,334872,330487,333826,336312,332408,340947,353018,363762,369236,376489,391591,403937,413097,422475,425202,422468,419956,414224,415184,404552,415247,399958,384276,369505,362755,355861,348112
